20010801a-KAZANOVKA-vpt1934f-voina.eaf	Детство во время войны	Казановка (Аскизский р-н)	vpt1934f	2001
20010802a-KAZANOVKA-eds1930f-xangza.eaf	Ханза-Пиг	Казановка (Аскизский р-н)	eds1930f	2001
20010803a-KAZANOVKA-kam1926f-kolhoz.eaf	Колхоз	Казановка (Аскизский р-н)	kam1926f	2001
20010803b-KAZANOVKA-kam1926f-obychai.eaf	Хакасская свадьба	Казановка (Аскизский р-н)	kam1926f	2001
20020627a-KAZANOVKA-kam1926f-duhi.eaf	Горные духи	Казановка (Аскизский р-н)	kam1926f, emk1967f	2002
20020710a-KAZANOVKA-emk1967f-diast.eaf	Диалог	Казановка (Аскизский р-н)	emk1967f, smm1950f	2002
20010804c-KAZANOVKA-eak1977m-politology.eaf	Экзамен по политологии	Казановка (Аскизский р-н)	eak1977m	2001
20010804b-KAZANOVKA-eak1977m-yazykoz.eaf	Экзамен по языкознанию	Казановка (Аскизский р-н)	eak1977m	2001
20010804a-KAZANOVKA-eak1977m-obshaga.eaf	Случай в общежитии	Казановка (Аскизский р-н)	eak1977m	2001
20010805a-KAZANOVKA-kas1964f-muzej.eaf	"Музей-заповедник ""Казановка"""	Казановка (Аскизский р-н)	kas1964f	2001
20010805b-KAZANOVKA-kas1964f-shkola.eaf	Работа в школе	Казановка (Аскизский р-н)	kas1964f	2001
20020705a-KAZANOVKA-kas1964f-gory.eaf	Горы Казановки	Казановка (Аскизский р-н)	kas1964f	2002
20020701a-KAZANOVKA-tsk1931f-legends.eaf	Встречи с духами, работа в колхозе	Казановка (Аскизский р-н)	tsk1931f	2002
20020702a-KAZANOVKA-gsm1929f-svadba.eaf	Свадьба	Казановка (Аскизский р-н)	gsm1929f	2002
20020702b-KAZANOVKA-gsm1929f-pohishenie.eaf	Похищении невесты	Казановка (Аскизский р-н)	gsm1929f	2002
20010806a-KAZANOVKA-lmp1941f-ogorod.eaf	Огород	Казановка (Аскизский р-н)	lmp1941f, mdc1963f, sjt1964f	2001
20010806b-KAZANOVKA-lmp1941f-life.eaf	О жизни	Казановка (Аскизский р-н)	lmp1941f, mdc1963f, sjt1964f	2001
20010807b-KAZANOVKA-tna1930f-bio.eaf	Биография	Казановка (Аскизский р-н)	mdc1963f, tna1930f, sjt1964f	2001
20010807a-KAZANOVKA-tna1930f-dela.eaf	Текущие дела	Казановка (Аскизский р-н)	mdc1963f, tna1930f	2001
20020703a-KAZANOVKA-egs1982f-diaml.eaf	Беседа	Казановка (Аскизский р-н)	lat1978f, rva1973f, egs1982f	2002
20020711a-KAZANOVKA-tgt1988-moon.eaf	Луна	Казановка (Аскизский р-н)	tgt1988	2002
20020711b-KAZANOVKA-tgt1988-hunters.eaf	Охотники	Казановка (Аскизский р-н)	tgt1988	2002
20020711c-KAZANOVKA-tgt1988-poem.eaf	Рана сердца	Казановка (Аскизский р-н)	tgt1988	2002
20110803a_KARAGAY_kau1916f.eaf	Семья, обычаи	Карагай	kau1916f, avd1959f, evs1979f	2011
20110817a_KARAGAY_mvk1924f_70_1.eaf	Здоровье, семья, приготовление пищи (ч.1)	Карагай	mvk1924f, avd1959f, evs1979f	2011
20110817a_KARAGAY_mvk1924f_70_2.eaf	Здоровье, семья, приготовление пищи (ч.2)	Карагай	mvk1924f, evs1979f	2011
20110817b_KARAGAY_mvk1924f_71.eaf	Старые предметы, фото	Карагай	mvk1924f, avd1959f, evs1979f	2011
20110816a_KARAGAY_vrk1929f_62.eaf	Семья, работа поваром	Карагай	vrk1929f, vxk1960m, evs1979f	2011
20110816b_KARAGAY_vrk1929f_64.eaf	Случаи с животными	Карагай	vrk1929f, vxk1960m, evs1979f	2011
20110816c_KARAGAY_vrk1929f_65.eaf	Сельская жизнь, смерть родителей	Карагай	vrk1929f, evs1979f	2011
20110816d_KARAGAY_vrk1929f_66.eaf	Юность	Карагай	vrk1929f, evs1979f	2011
20110815a_KARAGAY_erk1927f_53.eaf	Биография	Карагай	erk1927f, evs1979f	2011
20110815b_KARAGAY_erk1927f_54.eaf	Старые фотографии	Карагай	erk1927f, avd1959f, evs1979f	2011
20110815c_KARAGAY_erk1927f_56.eaf	Слуховой аппарат	Карагай	erk1927f, evs1979f	2011
20110815d_KARAGAY_erk1927f_59.eaf	Кража меда	Карагай	erk1927f, avd1959f, evs1979f	2011
20110801a_BUTRAHTY_asc1933f_1.eaf	О прошлом и настоящем (ч.1)	Бутрахты	asc1933f, evs1979f	2011
20110801a_BUTRAHTY_asc1933f_2.eaf	О прошлом и настоящем (ч.2)	Бутрахты	asc1933f, evs1979f	2011
20110818a_BUTRAHTY_iec1946m_104.eaf	Случаи из жизни	Бутрахты	iec1946m, evs1979f	2011
20110818b_BUTRAHTY_iec1946m_114.eaf	Шаманы	Бутрахты	iec1946m	2011
20110802a_CHYLANY_vtt1937f_40.eaf	Детство и юность, семья	Чиланы	vtt1937f, evs1979f	2011
20110802b_CHYLANY_vtt1937f_79.eaf	Родственники, святые места	Чиланы	vtt1937f, evs1979f	2011
20110820a_CHYLANY_zgb1935f_91_1.eaf	Жизнь в колхозе (ч.1)	Чиланы	zgb1935f, evs1979f	2011
20110820a_CHYLANY_zgb1935f_91_2.eaf	Жизнь в колхозе (ч.2)	Чиланы	zgb1935f, evs1979f	2011
20110820a_CHYLANY_zgb1935f_91_3.eaf	Жизнь в колхозе (ч.3)	Чиланы	zgb1935f, evs1979f	2011
20110820b_CHYLANY_zgb1935f_93.eaf	Встреча с мужем	Чиланы	zgb1935f, evs1979f	2011
20110820c_CHYLANY_zgb1935f_96.eaf	Побег, змеи, работа	Чиланы	zgb1935f, avd1959f, evs1979f	2011
20110821a_CHYLANY_zgb1935f_108.eaf	Песни	Чиланы	zgb1935f, evs1979f	2011
20110821b_CHYLANY_zgb1935f_109_1.eaf	Съемка на видеокамеру, песни, рассказы (ч.1)	Чиланы	zgb1935f, avd1959f, evs1979f	2011
20110821b_CHYLANY_zgb1935f_109_2.eaf	Съемка на видеокамеру, песни, рассказы (ч.2)	Чиланы	zgb1935f, evs1979f	2011
20110821b_CHYLANY_zgb1935f_109_3.eaf	Съемка на видеокамеру, песни, рассказы (ч.3)	Чиланы	zgb1935f, avd1959f, evs1979f	2011
